tradition,filename,filepath,commons_title,kept,width,height,licence,artist,credit,description,descriptionurl,source
tamil_nadu,Ancient_time.jpg,data\style_references\tamil_nadu\Ancient_time.jpg,File:Ancient time.jpg,,9248,6936,CC0,Tilak47,Own work,Saw in Tanjore,https://commons.wikimedia.org/wiki/File:Ancient_time.jpg,wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_64_36827799503.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_64_36827799503.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (64) (36827799503).jpg",,6000,4000,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (64)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (64)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(64)_(36827799503).jpg",wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_65_36827783873.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_65_36827783873.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (65) (36827783873).jpg",,5850,3762,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (65)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (65)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(65)_(36827783873).jpg",wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_66_37466010632.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_66_37466010632.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (66) (37466010632).jpg",,6000,4000,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (66)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (66)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(66)_(37466010632).jpg",wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_67_37466005762.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_67_37466005762.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (67) (37466005762).jpg",,5892,3830,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (67)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (67)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(67)_(37466005762).jpg",wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_68_36787092424.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_68_36787092424.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (68) (36787092424).jpg",,6000,4000,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (68)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (68)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(68)_(36787092424).jpg",wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_69_36787078114.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_69_36787078114.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (69) (36787078114).jpg",,6000,4000,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (69)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (69)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(69)_(36787078114).jpg",wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_70_37497165181.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_70_37497165181.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (70) (37497165181).jpg",no,6000,4000,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (70)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (70)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(70)_(37497165181).jpg",wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_72_37497142111.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_72_37497142111.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (72) (37497142111).jpg",no,5678,3436,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (72)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (72)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(72)_(37497142111).jpg",wikimedia_commons
tamil_nadu,Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_73_36827668433.jpg,data\style_references\tamil_nadu\Brihadishwara_Temple_Dedicated_to_Shiva_built_by_Rajaraja_I_completed_in_1010_Thanjavur_73_36827668433.jpg,"File:Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (73) (36827668433).jpg",no,5950,3924,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (73)","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (73)","https://commons.wikimedia.org/wiki/File:Brihadishwara_Temple,_Dedicated_to_Shiva,_built_by_Rajaraja_I,_completed_in_1010,_Thanjavur_(73)_(36827668433).jpg",wikimedia_commons
tamil_nadu,Brihadisvara_Temple_Thanjavur_Tamil_Nadu_India_2016_162.jpg,data\style_references\tamil_nadu\Brihadisvara_Temple_Thanjavur_Tamil_Nadu_India_2016_162.jpg,"File:Brihadisvara Temple, Thanjavur, Tamil Nadu, India (2016) 162.jpg",no,3456,5184,CC BY-SA 4.0,Nandhinikandhasamy,Own work,Brihadisvara Temple.,"https://commons.wikimedia.org/wiki/File:Brihadisvara_Temple,_Thanjavur,_Tamil_Nadu,_India_(2016)_162.jpg",wikimedia_commons
tamil_nadu,Brihadisvara_Temple_Thanjavur_Tamil_Nadu_India_2016_163.jpg,data\style_references\tamil_nadu\Brihadisvara_Temple_Thanjavur_Tamil_Nadu_India_2016_163.jpg,"File:Brihadisvara Temple, Thanjavur, Tamil Nadu, India (2016) 163.jpg",no,3456,5184,CC BY-SA 4.0,Nandhinikandhasamy,Own work,Brihadisvara Temple.,"https://commons.wikimedia.org/wiki/File:Brihadisvara_Temple,_Thanjavur,_Tamil_Nadu,_India_(2016)_163.jpg",wikimedia_commons
tamil_nadu,Brihadisvara_Temple_Thanjavur_Tamil_Nadu_India_2016_164.jpg,data\style_references\tamil_nadu\Brihadisvara_Temple_Thanjavur_Tamil_Nadu_India_2016_164.jpg,"File:Brihadisvara Temple, Thanjavur, Tamil Nadu, India (2016) 164.jpg",no,3456,5184,CC BY-SA 4.0,Nandhinikandhasamy,Own work,Brihadisvara Temple.,"https://commons.wikimedia.org/wiki/File:Brihadisvara_Temple,_Thanjavur,_Tamil_Nadu,_India_(2016)_164.jpg",wikimedia_commons
tamil_nadu,Brihadisvara_Temple_Thanjavur_Tamil_Nadu_India_2016_169.jpg,data\style_references\tamil_nadu\Brihadisvara_Temple_Thanjavur_Tamil_Nadu_India_2016_169.jpg,"File:Brihadisvara Temple, Thanjavur, Tamil Nadu, India (2016) 169.jpg",no,3456,5184,CC BY-SA 4.0,Nandhinikandhasamy,Own work,Brihadisvara Temple.,"https://commons.wikimedia.org/wiki/File:Brihadisvara_Temple,_Thanjavur,_Tamil_Nadu,_India_(2016)_169.jpg",wikimedia_commons
tamil_nadu,Chola_fresco.png,data\style_references\tamil_nadu\Chola_fresco.png,File:Chola fresco.png,no,779,523,Public domain,,,,https://commons.wikimedia.org/wiki/File:Chola_fresco.png,wikimedia_commons
tamil_nadu,DSC_1218-EFFECTS.jpg,data\style_references\tamil_nadu\DSC_1218-EFFECTS.jpg,File:DSC 1218-EFFECTS.jpg,,2448,3264,CC BY-SA 4.0,Gbkrish1,Own work,"This is a Tanjore Painting, of Hindu God Ganesha in the temple of Manakula Vinayagar in Pondicherry India. An art form created using Gold.",https://commons.wikimedia.org/wiki/File:DSC_1218-EFFECTS.jpg,wikimedia_commons
tamil_nadu,Gajalakshmi_in_Tanjore_Painting.png,data\style_references\tamil_nadu\Gajalakshmi_in_Tanjore_Painting.png,File:Gajalakshmi in Tanjore Painting.png,,1457,1846,FAL,Archana Devarkonda,The uploader on Wikimedia Commons received this from the author/copyright holder.,Goddess Gajalakshmi in Tanjore Painting,https://commons.wikimedia.org/wiki/File:Gajalakshmi_in_Tanjore_Painting.png,wikimedia_commons
tamil_nadu,Genealogy_of_Tanjore_Maratha_Kings.jpg,data\style_references\tamil_nadu\Genealogy_of_Tanjore_Maratha_Kings.jpg,File:Genealogy of Tanjore Maratha Kings.jpg,no,1265,768,Public domain,Anonymous Unknown author,Maratha Rule In The Carnatic by C K Srinivasan https://archive.org/details/in.ernet.dli.2015.514025/,Genealogy of Tanjore Maratha Kings,https://commons.wikimedia.org/wiki/File:Genealogy_of_Tanjore_Maratha_Kings.jpg,wikimedia_commons
tamil_nadu,Guru_Nanak_Seated_in_a_Pavilion_With_His_Companion_Mardana_and_an_Attendant_With_a_Flywhisk_Tanjore.png,data\style_references\tamil_nadu\Guru_Nanak_Seated_in_a_Pavilion_With_His_Companion_Mardana_and_an_Attendant_With_a_Flywhisk_Tanjore.png,"File:Guru Nanak Seated in a Pavilion With His Companion, Mardana, and an Attendant With a Flywhisk (Tanjore).png",no,1370,554,Public domain,Unknown author Unknown author,https://www.bonhams.com/auctions/21720/lot/297/,"Guru Nanak Seated in a Pavilion With His Companion, Mardana, and an Attendant With a Flywhisk. Tanjore, Mid-19th Century","https://commons.wikimedia.org/wiki/File:Guru_Nanak_Seated_in_a_Pavilion_With_His_Companion,_Mardana,_and_an_Attendant_With_a_Flywhisk_(Tanjore).png",wikimedia_commons
tamil_nadu,Hodges_View_of_the_Great_Pagoda_at_Tanjore_1787.jpg,data\style_references\tamil_nadu\Hodges_View_of_the_Great_Pagoda_at_Tanjore_1787.jpg,"File:Hodges View of the Great Pagoda at Tanjore, 1787.jpg",no,976,662,Public domain,William Hodges,http://www.columbia.edu/itc/mealac/pritchett/00routesdata/1000_1099/southtemples/tanjoreearly/tanjoreearly.html,"""A View of the Great Pagoda at Tanjore,"" an aquatint by William Hodges, 1787","https://commons.wikimedia.org/wiki/File:Hodges_View_of_the_Great_Pagoda_at_Tanjore,_1787.jpg",wikimedia_commons
tamil_nadu,Jan_Ciągliński_-_Tanjore__street._From_the_journey_to_India_-_MP_1674_MNW_-_National_Museum_in_Warsaw.jpg,data\style_references\tamil_nadu\Jan_Ciągliński_-_Tanjore__street._From_the_journey_to_India_-_MP_1674_MNW_-_National_Museum_in_Warsaw.jpg,File:Jan Ciągliński - Tanjore – street. From the journey to India - MP 1674 MNW - National Museum in Warsaw.jpg,no,2500,1943,Public domain,Jan Ciągliński,National Museum in Warsaw,,https://commons.wikimedia.org/wiki/File:Jan_Ci%C4%85gli%C5%84ski_-_Tanjore_%E2%80%93_street._From_the_journey_to_India_-_MP_1674_MNW_-_National_Museum_in_Warsaw.jpg,wikimedia_commons
tamil_nadu,Kamakshibai_Saheb.jpg,data\style_references\tamil_nadu\Kamakshibai_Saheb.jpg,File:Kamakshibai Saheb.jpg,no,757,757,Public domain,Anonymous Unknown author,"Itihāsa saṁgraha by Parasanis, Dattatraya Balavant Publication date: 1908 https://archive.org/details/dli.ministry.28945/",Kamakshibai Saheb,https://commons.wikimedia.org/wiki/File:Kamakshibai_Saheb.jpg,wikimedia_commons
tamil_nadu,MN331_Temple_of_Tanjore_Southern_India.jpg,data\style_references\tamil_nadu\MN331_Temple_of_Tanjore_Southern_India.jpg,"File:MN331 Temple of Tanjore, Southern India.jpg",no,944,513,Public domain,Marianne North,Art UK,,"https://commons.wikimedia.org/wiki/File:MN331_Temple_of_Tanjore,_Southern_India.jpg",wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_01.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_01.jpg,File:Maratha Durbar Hall in Thanjavur 01.jpg,no,4000,6000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_01.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_02.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_02.jpg,File:Maratha Durbar Hall in Thanjavur 02.jpg,,4000,6000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_02.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_05.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_05.jpg,File:Maratha Durbar Hall in Thanjavur 05.jpg,no,6000,4000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_05.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_09.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_09.jpg,File:Maratha Durbar Hall in Thanjavur 09.jpg,,6000,4000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_09.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_13.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_13.jpg,File:Maratha Durbar Hall in Thanjavur 13.jpg,,6000,4000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_13.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_15.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_15.jpg,File:Maratha Durbar Hall in Thanjavur 15.jpg,no,6000,4000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_15.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_16.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_16.jpg,File:Maratha Durbar Hall in Thanjavur 16.jpg,no,6000,4000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_16.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_19.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_19.jpg,File:Maratha Durbar Hall in Thanjavur 19.jpg,,6000,4000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_19.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_22.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_22.jpg,File:Maratha Durbar Hall in Thanjavur 22.jpg,no,4000,6000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_22.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_23.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_23.jpg,File:Maratha Durbar Hall in Thanjavur 23.jpg,no,4000,6000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_23.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_24.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_24.jpg,File:Maratha Durbar Hall in Thanjavur 24.jpg,no,4000,6000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_24.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_25.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_25.jpg,File:Maratha Durbar Hall in Thanjavur 25.jpg,no,6000,4000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_25.jpg,wikimedia_commons
tamil_nadu,Maratha_Durbar_Hall_in_Thanjavur_30.jpg,data\style_references\tamil_nadu\Maratha_Durbar_Hall_in_Thanjavur_30.jpg,File:Maratha Durbar Hall in Thanjavur 30.jpg,no,4000,6000,CC BY-SA 4.0,பிரயாணி,Own work,Paintings and relief sculptures at the Maratha Durbar Hall in Thanjavur,https://commons.wikimedia.org/wiki/File:Maratha_Durbar_Hall_in_Thanjavur_30.jpg,wikimedia_commons
